WE|ACTV|CROP 北方地区要抓住晴好天气完成秋收扫尾工作，做好粮食通风晾晒储藏工作，防止发芽霉变
WE 28-30日，冷空气将自北向南影响中东部地区，气温将下降4～8℃，内蒙古中东部、东北大部降温幅度可达10～14℃、局地达16℃以上，北方大部同时伴有大风
WE 未来一周，江淮、江汉、江南、华南中西部、西南地区东部等地降水量有10～40毫米，局部有50～70毫米
ACTV|INFRA 北方各地尤其东北地区和内蒙古要加强设施农业和畜牧业生产的管理，通过覆盖防寒物、加固棚膜等方式做好保温、防风工作
ACTV 南方秋播区应抓住降水间歇加快播栽工作，并做好苗期管理
WE 本周，除东北地区、内蒙古中部和东部、华北大部气温偏低1～4℃外，全国其余大部地区气温接近常年或偏高，其中新疆北部、江淮大部、江南东部和华南大部地区气温偏高1～4℃（图1）
WE 全国大部地区降水偏少，降水主要集中在江汉南部和江南，降水量有10～50毫米，江南中部和东部达50～110毫米（图2），较常年同期偏多1至2倍（图3）
WE 北方大部地区日照接近常年，淮河以南大部地区日照较常年同期偏少3～9成（图4）
CROP 目前，北方大部冬小麦处于三叶至分蘖期，新疆北部、西北地区东北部、华北北部局部进入越冬期
CROP 江淮、江汉和西南大部处于播种出苗至三叶期，四川盆地西部和云南中部部分进入分蘖期
CROP 长江流域大部油菜处于第五真叶至移栽成活期，江汉北部、江南东南部部分仍处于出苗阶段
WE 东北、内蒙古：周内，大部地区气温较常年同期偏低1～4℃，其中黑龙江西北部和内蒙古东北部偏低4～6℃，内蒙古东北部、黑龙江北部、吉林东南部和辽宁东部等地积雪厚度有5～10厘米、部分地区达10～20厘米
CROP|WE 但降温过程对黄淮南部和江淮江汉部分晚播、长势弱的冬小麦和油菜苗情转化升级略有不利
CROP 目前，冬小麦和油菜长势良好，主要以一、二类苗为主
WE 本周，全国大部农区无明显农业气象灾害
WE 气象条件及关注重点预计未来一周，东北和华北气温较常年同期持续偏低1～2℃，其中内蒙古东北部、东北地区北部气温偏低3～5℃，内蒙古东部、吉林、辽宁有小到中雪，北方其余大部地区基本无降水
WE 7日前后，弱冷空气影响长江中下游及其以北地区
WE|CROP 冷空气过程基本利于北方冬小麦抗寒锻炼
WE 本周，内蒙古西部、西北地区东北部、江淮大部气温偏低1～2℃，内蒙古东北部和东北地区大部气温偏低2～6℃，全国其余大部地区气温接近常年或偏高，其中新疆北部、西南地区北部和西部、江南西部气温偏高1～4℃（图1）
WE 全国大部地区以晴好天气为主，仅东北地区北部和东部、西南地区东部和南部有5～25毫米降水，其余大部地区无降水（图2），较常年同期偏少9成以上（图3）
WE 大部地区日照接近常年，贵州大部、广西西部等地日照较常年同期偏少3～9成（图4）
CROP 目前，北方大部冬小麦处于分蘖至越冬期，新疆大部、西北地区东部、山西中部、华北部分地区进入越冬期
CROP 江淮、江汉和西南大部处于出苗、三叶至分蘖期
CROP 长江流域大部油菜处于第五真叶至移栽成活期，江汉北部、江南东南部部分处于出苗至第五真叶期，西南局地油菜进入现蕾抽薹期
CROP|WE 华北南部和黄淮大部冬小麦处于分蘖期，水热条件适宜，有利前期晚播、长势弱的冬小麦苗情转化升级
WE 本周，全国大部农区无明显农业气象灾害
WE 预计未来一周，我国中东部大部地区气温较常年同期偏低1℃左右，其中内蒙古东北部、东北地区平均气温较常年同期偏低2～3℃
ACTV 牧区要做好牲畜防寒保暖和饲料储备工作
ACTV|CROP 同时要抓住晴好天气收获柑橘、甘蔗等经济林果，且注意果实的储存，防止霉变
CROP 目前，北方大部冬小麦处于分蘖至越冬期，新疆大部、西北地区东部、山西、河北中北部和山东大部进入越冬期
CROP 江淮、江汉和西南大部处于三叶至分蘖期，云南局地进入拔节期
CROP 长江流域大部油菜处于第五真叶至移栽成活期，西南局地油菜进入现蕾抽薹期
CROP 目前，冬小麦和油菜苗情主要以一、二类苗为主，长势良好
WE 江南、华南：周内，大部地区气温接近常年同期略偏低
WE 降水偏多，阴雨日数为3～4天
WE 日照时数较常年同期偏少3～8成，其中，广西东南部、广东西部部分地区偏少8成以上
WE 未来一周，南方大部地区气温偏低1～3℃，降水偏少
INFRA|CROP 北方地区要加强温室大棚加固、检修、保温工作，避免大风降温雨雪天气造成温棚损毁或作物冻害
ACTV 牧区做好牲畜的防寒保暖以及饲料储备等工作
ACTV 同时要抓住晴好天气及时收获甘蔗、蔬菜等经济林果，开展冬种工作
ACTV 牧区要做好牲畜防寒保暖和饲料储备工作
ACTV|CROP 同时要抓住晴好天气收获柑橘、甘蔗等经济林果，且注意果实的储存，防止霉变
CROP 目前，西北、华北和黄淮东部冬小麦大部处于越冬期
CROP 黄淮西部、江淮、江汉和西南冬小麦处于三叶至分蘖期，云南局地进入拔节期（表1）
CROP 长江中下游油菜大部处于第五真叶至移栽成活期，西南部分油菜进入现蕾抽薹期
CROP 目前，冬小麦和油菜以一、二类苗为主，长势良好
WE 江南、华南、西南：周内，受16-20日强冷空气南下影响，江南东部、华南、西南地区中南部等地气温偏低1～4℃
WE|LOSS 低温冻害：本周，受冷空气影响，云南省云溪、红河等地出现霜冻害，部分地区露地蔬菜、豆类、马铃薯、油菜等作物受灾
WE 12月27日前后，新疆北部有中到大雪、局地暴雪，并有5～7级偏北风，气温下降8～12℃
WE 未来一周，南方大部地区气温接近常年
WE 27日后，南方降水较前期有增多趋势，但降水强度较弱，其中27-28日云南、华南、江南大部有一次小雨天气过程，云南南部、广西西部有中到大雨
ACTV|CROP 黄淮西部、江淮等地晚弱苗要采取有效措施力争转化升级、增加分蘖
ACTV 并抓住晴好天气及时收获香蕉、柑橘、蔬菜等经济林果
ACTV|INFRA 此外，各地注意加强农田水利设施建设，做好库塘蓄水工作
WE 江南、华南、西南地区东部有中到大雨，部分低洼农田可能出现渍涝灾害
WE 本周，全国大部地区平均气温较常年同期偏高1～4℃（图1）
WE 江淮、江汉东部、江南西部和北部、华南西部、西南地区南部等地降水日数有3～6天，降水量有10～50毫米，云南南部达50～100毫米（图2），上述大部地区降水量较常年偏多5成至2倍，部分地区偏多2～4倍，日照不足15小时，较常年偏少3～9成（图3）
CROP 河南南部和西部、江苏北部等地发育期较常年偏晚
CROP 江淮、江汉和西南地区冬小麦处于三叶至分蘖期，部分已拔节
CROP 全国冬小麦整体长势良好，一、二类苗比例分别为21%和78%
CROP 长江中下游地区油菜处于第五真叶至移栽成活期，西南地区大部处于成活至现蕾期，部分已抽薹
CROP 油菜苗情以一、二类苗为主，比例分别为12%和79%
ENV 农区大部耕作层土壤墒情适宜，安徽北部、福建东部、四川中部和南部、重庆中部等地部分地区土壤缺墒
ENV 湖北西部和东部、湖南大部、江西西南部、贵州中南部、云南西部和南部等地部分地区土壤偏湿（图4）
CROP|WE 但农区大部日照偏少3～5成，影响设施蔬菜正常生长
WE 江南、华南、西南地区东部有中到大雨，其中江南东南部、华南北部局地有暴雨，部分低洼农田可能出现渍涝灾害（图5）
ACTV|INFRA 北方设施农业应注意做好防寒保暖和设施温棚加固工作，及时清理积雪，防止温棚垮塌
ACTV 各地应抓住气温回升的有利时机，做好农业生产恢复工作
WE 本周，除东北地区、内蒙古东部气温较常年同期偏高外，全国大部地区气温接近常年或偏低，其中西北地区大部、黄淮西部、江淮西部、江汉、江南西部、贵州东部和广西北部偏低2～4℃，新疆北部偏低4～6℃（图1）
WE 中东部大部地区出现雨雪天气过程，东北地区中北部、内蒙古东北部、新疆北部、西北地区东部、华北西南部、黄淮西部、江淮东部、江汉北部最大积雪深度有5～20厘米，部分地区达20～41厘米
WE 江南南部、华南大部降水量有100～250毫米（图2），偏多2～5倍，日照偏少3～9成（图3）
CROP 本周，西北、华北和黄淮大部冬小麦进入越冬期
CROP 江淮、江汉和西南地区冬小麦处于三叶和分蘖期，西南部分地区已拔节（表1）
CROP 全国冬小麦整体长势良好，一、二类苗比例分别为20%和79%，与上周相比，一类苗减少1%，二类苗增加1%
CROP 长江中下游地区油菜处于第五真叶和移栽成活期，江南部分地区进入现蕾期
CROP 西南地区大部处于成活和现蕾期，部分已抽薹
CROP 油菜苗情以一、二类苗为主，比例分别为13%和77%，与上周相比，一类苗增加1%，二类苗减少2%
ENV 四川中部和南部部分地区土壤缺墒
ENV 其余农区土壤墒情适宜（图4）
ACTV|INFRA 设施农业和畜牧业要做好防寒保暖和棚舍修复与加固工作
ACTV 南方农区应抓住气温回升的有利时机，做好农业生产恢复工作
WE 22-25日，中东部大部地区将出现大风降温天气
WE 24-25日，西北地区东部、黄淮西部、江淮、江汉、江南北部等地还将伴有降雪，部分地区可能再度出现雪灾和寒冻害
ACTV|INFRA 各地应做好在地作物、蔬菜等防寒防冻及温棚、畜舍的加固与保暖工作
WE 本周，全国大部地区气温接近常年同期或偏高，其中吉林东南部、辽宁大部、内蒙古东部、宁夏中部、湖南南部、江西中部等地偏高2～4℃（图1）
WE 全国大部地区周内无明显降水，较常年同期偏少8成以上（图2），仅黑龙江中东部、吉林大部、辽宁北部和东部、内蒙古东部、新疆北部等地偏多1～4倍
WE 全国大部地区日照接近常年同期或偏多（图3），其中浙江、江西大部、湖南南部、福建、广东、四川盆地和重庆等地偏多3成～3倍，仅黑龙江东部、新疆北部、广西西部、云南中部等地偏少3～8成
CROP 本周，北方大部冬小麦进入越冬期（表1）
CROP 安徽、湖北、四川、贵州和重庆多处于分蘖期，云南大部进入拔节期
CROP 长江中下游地区油菜处于第五真叶和成活期，江西、湖南和贵州的部分地区及四川大部进入现蕾和抽薹期
CROP 主产省一类苗比例分析结果显示，河北、安徽高于上年和近五年同期；山西、山东、河南、新疆低于上年和近五年同期
CROP 湖北、四川本周和上年同期均无一类苗，低于近五年同期；江苏低于上年高于近五年同期；陕西高于上年低于近五年同期（图4）
CROP 全国油菜苗情以一、二类苗为主，比例分别为16%和76%，与上周相比，一类苗增加3%，二类苗减少1%，苗情整体略有提升
CROP 主产省中，浙江、陕西苗情均为一类苗，贵州多为三类苗
CROP 其余省份以二类苗为主，其中湖北、四川本周与上年和近五年同期均为二类苗，湖南二类苗低于上年和近五年同期，安徽、重庆高于上年少于近五年同期，江西低于上年同期高于近五年同期（图5）
WE 预计22-25日，受较强冷空气影响，长江中下游及其以北地区有4～6级偏北风，中东部大部地区气温将下降4～8℃，最低气温0℃线将南压至江南南部至广西北部一线
WE 24-25日西北地区东南部、黄淮西部、江淮、江汉有中到大雪或雨夹雪、局地有暴雪，江南北部沿江有雨或雨夹雪，贵州东北部、湖南西北部有冻雨
ACTV|WE|INFRA 设施大棚要提前做好加固工作，防止较强降雪造成温棚受压垮塌
ACTV 果园可采取覆盖、熏烟等措施防寒防冻
ACTV|WE 另外，降水偏多地区要及时清沟理墒，避免发生湿渍害
WE 本周，新疆北部、内蒙古东部、黑龙江、吉林、辽宁等地气温偏低2～6℃，全国其余大部地区气温接近常年同期或偏高，其中江西南部、福建大部、广东、广西、贵州西南部等地偏高4～6℃（图1）
WE 本周降水主要集中在长江中下游地区，其中江苏南部、安徽南部、湖北东部、湖南北部、江西北部、浙江北部、贵州东北部等地有10～50毫米（图2）
WE 中东部大部地区日照偏少3～9成，仅黑龙江东南部、江西南部、福建西部、广东北部、广西南部、四川东南部、贵州西部和云南东部等地偏多3成至2倍（图3）
CROP 四川、贵州和重庆多处于分蘖期，云南大部进入拔节期
CROP 长江中下游地区油菜处于第五真叶和成活期，江西、湖南、浙江和贵州的部分地区及四川大部进入现蕾和抽薹期
CROP 全国油菜苗情以一、二类苗为主，比例分别为12%和76%，与上周相比，一类苗减少4%，二类苗与上周持平，苗情整体略有下降
CROP 主产省中，陕西苗情均为一类苗，贵州多为三类苗
CROP 其余省份以二类苗为主，其中四川本周与上年和近五年同期均为二类苗，重庆、江苏二类苗高于上年和近五年同期，湖南、湖北二类苗低于上年和近五年同期，安徽高于上年同期少于近五年同期，江西低于上年同期高于近五年同期（图5）
ENV 未封冻区耕作层土壤过湿站点百分比较上周下降1.3%，较上年同期偏少3.4%（表2），过湿地区主要集中在安徽中部、湖北西部和东部、湖南大部、江西南部、广东大部、广西西部、贵州中南部、云南西部等地（图6）
ENV 四川中部和南部部分地区土壤缺墒，其余农区土壤墒情适宜，适宜站点百分比较上周略有增加，较上年同期偏少0.6%，缺墒站点百分比与上周基本持平，较上年同期偏多4.0%
WE|CROP 华南东部及西南地区南部等地气温明显偏低，经济林果可能遭受寒害
WE 最低气温-0℃线南压至江南南部和华南北部，最低气温-8℃线南压至江淮、江汉
WE 东北地区、新疆北部、西北地区东南部、黄淮大部、江淮、江汉、江南北部沿江地区等地最大积雪深度普遍有1～5厘米，其中新疆北部、黑龙江、吉林、甘肃东部、陕西中部、河南南部、湖北大部、安徽、江苏中南部、浙江西北部等地最大积雪深度有5～20厘米（图2），除新疆北部和东北地区大部以外，上述大部地区的积雪为本周新增
WE 中东部大部地区日照偏少，其中，甘肃东部、陕西大部、山西南部、河北南部、山东大部、安徽、江苏、湖南大部、江西、浙江、福建、广东、广西、重庆大部、贵州等地偏少3成至9成（图3）
CROP 四川、贵州多处于分蘖期，重庆和云南大部进入拔节期
CROP 长江中下游地区油菜处于第五真叶和成活期，江西、湖南、浙江、四川大部及贵州的部分地区进入现蕾和抽薹期，局部已开花
WE 江淮、江汉、江南：大部地区气温较常年同期偏低4～6℃，湖北中部、安徽西部和湖南局部偏低6℃以上，浙江、安徽周内平均气温均为1981年同期最低，湖南、湖北周内平均气温为1981年来同期第2低，江西和江苏周内平均气温均为1981年来同期第3低
WE 24-28日，湖北大部、安徽和江苏大部、湖南北部、江西北部、浙江北部出现中到大雪,部分地区出现暴雪到大暴雪，湖南、贵州和江西等地还出现冻雨
WE 华南、西南：福建、广西、广东等地气温偏低2～6℃、日照偏少5成至1倍
WE 1月22-28日我国出现入冬以来最强低温雨雪过程，其中降温主要出现在22-25日，降雪过程出现在24-28日
WE 这次强冷空气过程影响范围广、持续时间长、温度低且极端性强，降雪量大，灾害影响重
WE 此次过程对农业影响明显轻于2008年雨雪冰冻灾害
WE 预计未来一周，影响我国的冷空气活动仍频繁，2月5日之前全国大部地区气温偏低1～3℃，江南东部、华南东部及云贵高原等地部分地区偏低4～5℃
WE 其中2月3日，中东部大部地区自北向南先后有4～6级偏北风，气温下降
WE 2-5日，广东、福建南部、云南等地部分地区气温偏低4～5℃，经济林果可能遭受寒害（图7）
ACTV 针对对经济林果采取培土、灌水、烟熏、根外喷硼等方法防寒防冻
WE 本周全国大部降水稀少，仅西南地区多阴雨天气
WE 中东部地区气温偏低2～6℃，最低气温0℃线南压至华南北部、云南东北部
WE 一、主要天气特点本周，全国大部农区气温偏低2～6℃，其中内蒙古东部和西部、黑龙江大部、吉林大部、辽宁、新疆南部、甘肃大部、宁夏、陕西中北部、安徽南部、浙江西部、江西南部、福建、广东、广西西部、海南、贵州西部、云南中东部等地偏低4～6℃（图1），仅云南西部、青藏高原大部气温偏高1～6℃
WE 最低气温0℃线南压至华南北部、云南东北部，最低气温-8℃线北退至黄淮中南部
WE 本周全国大部无降水或降水稀少，较常年同期偏少8成至1倍
WE 仅西南地区大部、新疆西北部、内蒙古东部、山东半岛，福建等地出现1～5毫米、局地5～25毫米降水（图2）
WE 西南地区多阴雨天气，贵州西南部、云南东北部降水日数为3～6天
WE 东北地区、新疆北部、西北地区东南部、江淮中西部、江南东北部、云南东北部等地最大积雪深度普遍有1～5厘米，其中新疆北部、内蒙古东北部、黑龙江大部、吉林东部、安徽中南部、江苏西南部、浙江西北部等地最大积雪深度有5～20厘米
WE 中东部大部地区日照正常或偏多，其中西北地区东南部、华北南部、黄淮、江淮、江汉、江南、华南中部偏多3成至1倍，江西北部、湖南大部、广西大部偏多1～2倍
 仅四川南部、贵州西南部、云南中东部以及海南等地偏少3成至1倍（图3）
CROP 二、作物生长发育状况本周，北方麦区以及江淮、江汉冬小麦处于越冬期（表1）
CROP 四川、重庆、贵州部分进入拔节期，云南大部进入拔节至孕穗期
CROP 安徽、江苏、湖北三省油菜处于第五真叶和成活期，浙江、江西、湖南、贵州、重庆、四川进入现蕾和抽薹期
CROP 本周，全国冬小麦整体长势相对较好，一、二类苗比例分别为15%和83%，一类苗较上周下降3%，二类苗增加4%
 主产省一类苗比例分析结果显示，河北、安徽高于上年和近五年同期
 江苏低于上年高于近五年同期
 陕西高于上年低于近五年同期
 山西、河南低于上年和近五年同期
 山东、湖北、四川和新疆本周无一类苗，低于近五年同期（图4）
CROP 全国油菜苗情以一、二类苗为主，比例分别为13%和82%，与上周相比一类苗增加2%，二类苗增加5%
CROP 主产省中，江西、湖北一类苗分别增加20%、25%，安徽维持在33%，湖北同时也存在约三成的三类苗，其余省份以二类苗为主，其中四川本周与上年和近五年同期持平，均为二类苗
 江西二类苗低于上年高于近五年同期，重庆、江苏二类苗与上年同期持平高于近五年同期，湖南、安徽高于上年同期与近五年同期持平，湖北二类苗低于上年和近五年同期（图5）
ENV 三、土壤墒情分析本周，北方大部地区土壤处于封冻状态
ENV 南方大部耕作层20厘米土壤缺墒站点百分比与上周相比增加1.4%，较上年同期偏多3.7%（表2），主要集中在四川中部和南部、重庆和海南局地
ENV 土壤过湿站点百分比与上周相比减少5.9%，较上年同期偏少4.0%，过湿状况进一步改善，过湿地区主要集中在湖北西部和东南部、湖南大部、江西北部和西南部、福建北部和西南部以及广东等地（图6）
ENV 土壤适宜站点百分比与上周相比增加4.5%，较上年同期增加0.2%（表2）
WE 江淮、江汉、江南：大部地区多晴好天气，日照较常年同期偏多5～8成，江南偏多1～2倍
WE 华南、西南：大部地区气温偏低2～6℃，云南和福建平均气温均为1981年以来同期最低，贵州和广东为第三低
WE 广西、广东、福建、海南多晴无降水，周内大部日最低气温低于5℃，北部地区低于0℃，较常年同期偏低6℃以上，经济林果、露地蔬菜遭受霜冻害或寒害
WE 六、未来一周天气及关注重点预计未来一周，全国大部降水稀少，北方地区平均气温仍较常年同期偏低1～2℃
ACTV 甘肃中西部、内蒙古东部、黑龙江和吉林东部等地雪后及时清扫积雪，防止温棚受压垮塌、作物或牲畜受冻
WE 一、主要天气特点本周，全国大部农区气温较上周回升，但仍较常年偏低1～4℃，其中内蒙古、黑龙江、吉林东部和北部、辽宁大部、新疆中东部、甘肃大部、宁夏、陕西中北部、山西中北部、京津地区、河北北部、福建西部、广西西部、海南、四川中东部、贵州西部、云南东北部等地偏低2～4℃（图1）
WE 仅云南西部、青藏高原大部气温偏高1～4℃
WE 最低气温0℃线退至四川北部、湖南北部、江西中部、福建西北部一带
WE 1月下旬以来，东北地区、华北、西北地区中东部区域平均气温为1981年以来第3低值，仅高于1984（最低）、2008年（次低）同期
WE 本周全国大部无降水或降水量较少，较常年同期偏少8成至1倍
WE 黑龙江中部和西北部、吉林东部、辽宁东北部、甘肃西部、四川大部、重庆大部、西藏东部和西南部、云南西北部和东部、贵州西部、山东半岛东部，浙江大部、江西东北部、福建大部、广西中部等地出现1～5毫米、局地5～10毫米降水（图2）
WE 西南地区东部多阴雨天气，贵州西部、四川盆地南部降雨日数有2～4天
WE 东北地区、新疆北部、内蒙古东部、山东半岛东部等地最大积雪深度普遍有1～10厘米、部分地区10～20厘米
WE 中东部大部地区日照接近常年或偏多，其中西北地区东南部、华北南部、黄淮、江淮、江汉、江南大部、华南东部偏多3～8成
 仅四川中东部、重庆、贵州、湖南西部和广西北部等地偏少3成至1倍（图3）
CROP 二、作物生长发育状况本周，北方麦区以及江淮、江汉冬小麦处于越冬期（表1）
CROP 四川、重庆、贵州部分进入拔节期，云南大部进入拔节至孕穗期，部分已进入开花期
CROP 安徽、江苏、湖北三省油菜处于第五真叶和成活期，浙江、江西、湖南、贵州、重庆、四川进入现蕾和抽薹期，四川和江西部分已开花
 主产省一类苗比例分析结果显示，江苏、安徽高于上年和近五年同期
 河北低于上年高于近五年同期
 河南低于上年和近五年同期
 山东、湖北、四川、新疆本周无一类苗，低于上年和近五年同期
 陕西高于上年同期低于近五年同期（图4）
CROP 全国油菜苗情以一、二类苗为主，比例分别为6%和84%，与上周相比一类苗减少7%，二类苗减少2%
CROP 大部主产省份以二类苗为主，其中四川本周与上年和近五年同期持平，均为二类苗
 江西、安徽高于上年同期与近五年同期持平，重庆二类苗高于上年低于近五年同期，江苏本周均为二类苗与上年持平、高于近五年同期，湖南、湖北二类苗低于上年和近五年同期（图5）
ENV 三、土壤墒情分析本周，北方大部地区土壤处于封冻状态
ENV 南方大部耕作层20厘米土壤墒情进一步改善，其中缺墒站点百分比与上周基本持平，较上年同期偏多2.9%（表2），主要集中在四川中部和南部、重庆和海南局地
 土壤过湿站点百分比与上周相比减少1.7%，较上年同期偏少5.0%，过湿状况较上周进一步改善，过湿地区主要集中在湖北西部和东南部、湖南大部、江西北部和西南部、福建北部和西南部以及广东等地（图6）
 土壤适宜站点百分比与上周相比增加2.2%，较上年同期增加2.2%（表2）
 五、主要农业气象灾害监测与影响评估本周全国农区无明显农业气象灾害
WE 17-21日江淮、江汉、江南、华南、四川盆地东部及贵州有小雨，其中江汉南部、江淮、江南北部等地部分地区有中到大雨，阴雨天气总体对农业生产影响不大（图7）
ACTV 华南地区要及早做好春耕春播准备工作，并注意关注天气变化，适时开展早稻播种育秧和春植蔗、玉米等旱地作物播种
WE 一、主要天气特点本周，全国大部农区气温较上周显著回升，除辽宁、吉林、黑龙江和内蒙古东部气温偏低1～4℃外，其余大部地区气温接近常年或偏高1～2℃，其中四川中部和南部、云南北部和东部、贵州、湖南和江西两省中南部、浙江南部、福建、广东、广西等地偏高2～6℃（图1）
WE 最低气温0℃线退至秦岭至河南中部、安徽北部、江苏南部一带，平均气温0℃线退至甘肃东部至陕西北部、山西北部、河北北部一带
WE 本周，全国降水分布不均，西北地区大部、黄淮大部、江淮、江汉、西南地区西部、江南大部、华南东部等地出现1～5毫米、部分地区5～10毫米降水，其中苏皖两省中南部、浙赣两省北部以及湖北大部降水量有10～40毫米
WE 上述地区降水接近常年同期或偏多3～5成，其中新疆西北部和东南部、青海大部、西藏东部、四川西部、甘肃大部、宁夏大部、陕西中部、内蒙古西部、安徽和江苏两省中南部、浙江北部等地偏多5成至1倍、部分地区偏多1～2倍（图2）
WE 河南东南部、湖北东南部、安徽中南部、江苏南部、浙江北部降雨日数有4～6天
WE 全国其余大部地区无降水或降水稀少，与常年同期相比偏少8成以上
 内蒙古东北部、吉林中南部、黑龙江大部、新疆北部、甘肃大部、青海东南部、四川西北部、西藏西南部和东部等地最大积雪深度普遍有1～10厘米、部分地区10～20厘米
WE 河南大部、湖北、安徽、江苏、浙江北部、江西北部等地日照时数较常年同期偏少3成至1倍
WE 四川盆地大部、贵州、江西南部、福建西部、广东北部、广西西部等地偏多3成至2倍（图3），其余地区日照时数接近常年同期
CROP 二、作物生长发育状况本周，北方麦区大部冬小麦处于越冬期，江淮、江汉、黄淮南部的冬小麦部分开始进入返青期
CROP 四川、重庆和贵州大部处于拔节期，四川南部、云南大部进入孕穗抽穗期，云南部分已进入开花期（表1）
CROP 安徽中部、江苏油菜处于第五真叶和成活期，湖北大部、安徽南部、浙江、江西、湖南、贵州、重庆、四川进入现蕾和抽薹期，其中四川、重庆、贵州、湖南和江西部分油菜已开花
CROP 本周，全国冬小麦整体长势相对较好，一、二类苗比例分别为16%和82%，与上周相比一类苗增加2%，二类苗减少2%
 主产省一类苗比例分析结果显示，江苏、安徽高于上年和近五年同期
 河北低于上年高于近五年同期
 河南、山东和山西低于上年和近五年同期
 陕西高于上年同期低于近五年同期
 湖北、四川、新疆本周无一类苗，低于上年和近五年同期（图4）
CROP 全国油菜苗情以一、二类苗为主，比例分别为10%和83%，与上周相比一类苗增加4%，二类苗减少1%
 其中安徽、江西一类苗分别增加25%、17%，陕西均为一类苗
CROP 各主产省以二类苗为主，其中江苏本周二类苗与上年和近五年同期持平，四川和湖南均与上年同期持平并高于近五年同期，均为二类苗
 安徽高于上年和近五年同期
 重庆二类苗与上年持平低于近五年同期
 江西低于上年高于近五年同期
 湖北二类苗低于上年和近五年同期（图5）
WE 华北大部、黄淮东北部11月以来降水偏少5～8成，冀鲁晋京津区域平均降水量为1981年以来第四少值
WE 江淮、江汉、江南：大部地区气温明显回升，周内气温接近常年同期或偏高1～2℃，日照接近常年或偏多，其中江南中南部气温偏高2～6℃、日照偏多3成至2倍
WE 仅湖北东南部、安徽中南部、江苏南部、浙江北部降雨日数有4～6天，日照偏少5～8成，阴雨寡照天气对油菜现蕾抽薹略有影响
WE 华南、西南：日照时数正常或偏多，其中西南地区东部及广西西部普遍偏多8成至2倍
 五、主要农业气象灾害监测与影响评估本周全国农区无明显农业气象灾害
ACTV 华南春播区要做好早稻选种、秧床培肥等准备工作，适时播种育秧
WE 预计未来一周，内蒙古东北部和黑龙江较强降温降雪过程不利设施农业和畜牧业生产
